title,authors,fim_authors,date,journal,volume,pages,book_title,publisher,abstract,data_loc,code_loc,type,doi,project_id
Artificial shifting of fMRI activation localized by volume- and surface-based analyses,"H. Jo, L. Kim",hang_jo,2008-01-01,NeuroImage,40.0,1077-1089,,,,,,journal_article,,
Nicotine-induced limbic cortical activation in the human brain: A functional MRI study,"E. Stein, J. Pankiewicz, H. Harsch, J. Cho, S. Fuller, R. Hoffmann, M. Hawkins, S. Rao, Peter Bandettini, A. Bloom","jacob_levenstein, julia_choi, peter_bandettini",1998-01-01,American Journal of Psychiatry,155.0,1009-1015,,,,,,journal_article,,
Neuronal current imaging using MRI: A feasibility study,"N. Petridou, J. Bodurka, M. Loew, Peter Bandettini","natalia_petridou, peter_bandettini",2001-01-01,Medical Imaging 2001: Physiology and Function from Multidimensional Images,,,,,"Current functional MRI techniques are essentially based on detection of hemodynamic changes induced by neuronal activation. This study is an exploration of the feasibility of direct detection of neuronal current induced NMR phase and/or magnitude changes. Our analysis was based on the approximation that neurons exist in an infinite homogeneous conducting medium, and are represented by an infinitely long cylindrical conductor, carrying uniform current. Neuronal activation was modeled by a current dipole. Simulations were performed to evaluate the effects of the local neuronal magnetic fields on the MRI signal at 3T. The magnetic field changes and the corresponding phase changes induced from a current range of 2 nA to 100 (mu) A were estimated. The conductor diameter was varied from 10 micrometer to 1 mm corresponding to the sizes ranging from that of a single axon to that of a patch of functionally similar cortex. Current induced magnetic field effects were assessed as resolution and neuronal orientation with respect to Bo were modulated. Simulation results were compared with measurements obtained from a current phantom at 3T, for a current range of 10 - 100 (mu) A. Based on the dipole model formulated we found that neuronal currents can produce magnetic fields on the order of 1.3 pT; 0.0006 degree(s) to 9 nT; 4 degree(s) depending on the neuronal bundle diameter, orientation, and current capacity. The mechanism for signal changes is that of Bo shifts. This is fundamentally similar to that of BOLD contrast, but caused by current changes rather than susceptibility changes from changes in blood oxygenation. If the bundles are of random orientations within a voxel, the estimated fields and NMR magnitude changes (decrease in T2*) are on the order of present system detection levels of approximately 1nT; 0.5 degree(s) or 0.01% signal change. Conversely, if the bundle orientation is homogeneous, then neuronal current effects are above system detection levels. The spatial scale of the current distribution also determines the net phase shift and magnitude change. The simulation and phantom experiment results demonstrated the feasibility of using MRI to directly detect local magnetic field perturbations that can result from neuronal currents on the order of a few (mu) A. This study provides a simple model for the evaluation of the feasibility to directly measure neuronal currents with MRI. Additionally it gives a starting point for the design of appropriate imaging methods towards detecting low signal level neuronal currents. A more extensive modeling of cortical and neuronal geometry, tissue inhomogeneity, timing mechanisms, and current distributions, will provide further insight in the development of MRI experimental techniques.",,,journal_article,https://doi.org/10.1117/12.428136,
"The positive-negative mode link between brain connectivity, demographics and behaviour: a pre-registered replication of Smith et al. (2015)","Nikhil Goyal, Dustin Moraczewski, Peter Bandettini, Emily Finn, Adam Thomas","emily_finn, peter_bandettini",2022-02-02,Royal Society Open Science,9.0,,,,"In mental health research, it has proven difficult to find measures of brain function that provide reliable indicators of mental health and well-being, including susceptibility to mental health disorders. Recently, a family of data-driven analyses have provided such reliable measures when applied to large, population-level datasets. In the current pre-registered replication study, we show that the canonical correlation analysis (CCA) methods previously developed using resting-state magnetic resonance imaging functional connectivity and subject measures (SMs) of cognition and behaviour from healthy adults are also effective in measuring well-being (a 'positive-negative axis') in an independent developmental dataset. Our replication was successful in two out of three of our pre-registered criteria, such that a primary CCA mode's weights displayed a significant positive relationship and explained a significant amount of variance in both functional connectivity and SMs. The only criterion that was not successful was that compared to other modes the magnitude of variance explained by the primary CCA mode was smaller than predicted, a result that could indicate a developmental trajectory of a primary mode. This replication establishes a signature neurotypical relationship between connectivity and phenotype, opening new avenues of research in neuroscience with clear clinical applications.",,,journal_article,10.1098/rsos.201090,bold_connectivity_dynamics
Idiosynchrony: From shared responses to individual differences during naturalistic neuroimaging,"Emily Finn, Enrico Glerean, Arman Khojandi, Dylan Nielson, Peter Molfese, Daniel Handwerker, Peter Bandettini","emily_finn, arman_khojandi, peter_molfese, daniel_handwerker, peter_bandettini",2020-01-01,NeuroImage,215.0,116828,,,,,https://github.com/esfinn/intersubj_rsa,journal_article,10.1016/j.neuroimage.2020.116828,
Holo-Hilbert spectral-based noise removal method for EEG high-frequency bands,"Narges Moradi, Pierre LeVan, Burak Akin, Bradley Goodyear, Roberto Sotero",burak_akin,2022-01-01,Journal of Neuroscience Methods,368.0,109470,,,"Simultaneous EEG-fMRI is a growing and promising field, as it has great potential to further our understanding of the spatiotemporal dynamics of brain function in health and disease. In particular, there is much interest in understanding the fMRI correlates of brain activity in the gamma band (>30 Hz), as these frequencies are thought to be associated with cognitive processes involving perception, attention, and memory, as well as with disorders such as schizophrenia and autism. However, progress in this area has been limited due to issues such as MR-induced artifacts in EEG recordings, which seem to be more problematic for gamma frequencies. This paper presents a noise removal method for the gamma band of EEG that is based on the Holo-Hilbert spectral analysis (HHSA), but with a new implementation strategy. HHSA uses a nested empirical mode decomposition (EMD) to identify amplitude and frequency modulations (AM and FM, respectively) by averaging over frequencies with high and significant powers. Our method examines gamma band by applying two layers of EMD to the FM and AM components, removing components with very low power based on the power-instantaneous frequency spectrum, and subsequently reconstructs the denoised gamma-band signal from the remaining components. Simulations demonstrate that our proposed method efficiently reduces artifacts while preserving the original gamma signal which is especially critical for simultaneous EEG/fMRI studies.",,,journal_article,10.1016/j.jneumeth.2021.109470,
"The brain imaging data structure, a format for organizing and describing outputs of neuroimaging experiments","Krzysztof Gorgolewski, Tibor Auer, Vince Calhoun, Cameron Craddock, Samir Das, Eugene Duff, Guillaume Flandin, Satrajit Ghosh, Tristan Glatard, Yaroslav Halchenko, Daniel Handwerker, Michael Hanke, David Keator, Xiangrui Li, Zachary Michael, Camille Maumet, Nolan Nichols, Thomas Nichols, John Pellman, Jean-Baptiste Poline, Ariel Rokem, Gunnar Schaefer, Vanessa Sochat, William Triplett, Jessica Turner, Jessica Turner, Russell Poldrack",daniel_handwerker,2016-01-01,Scientific Data,3598.0,160044,,,,,,journal_article,10.1038/sdata.2016.44,
The Behavioral Significance of Spontaneous Fluctuations in Brain Activity,R. Birn,rasmus_birn,2007-01-01,Neuron,56.0,9-Aug,,,,,,journal_article,,
How does an fMRI voxel sample the neuronal activity pattern: Compact-kernel or complex spatiotemporal filter?,"Peter Bandettini, R. Cusack, N. Kriegeskorte","peter_bandettini, nicolaus_kriegeskorte",2010-01-01,Neuroimage,49.0,1965-1976,,,,,,journal_article,,
NEDE: An open-source scripting suite for developing experiments in 3D virtual environments,"David Jangraw, Ansh Johri, Meron Gribetz, Paul Sajda",david_jangraw,2014-01-01,Journal of Neuroscience Methods,235.0,245-251,,,,,,journal_article,10.1016/j.jneumeth.2014.06.033,
The neuroscientific exploitation of high-resolution functional magnetic resonance imaging,"N. Kriegeskorte, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2006-01-01,,,21-24,,,,,,journal_article,,
Functional magnetic resonance imaging of complex human movements,"S. Rao, J. Binder, Peter Bandettini, T. Hammeke, F. Yetkin, A. Jesmanowicz, L. Lisk, G. Morris, W. Mueller, L. Estkowski",peter_bandettini,1993-01-01,Neurology,43.0,2311-2318,,,,,,journal_article,,
"Sources of Information Waste in Neuroimaging: Mishandling Structures, Thinking Dichotomously, and Over-Reducing Data","G. Chen, P. Taylor, J. Stoddard, R. Cox, Peter Bandettini, L Pessoa",peter_bandettini,2022-03-07,Aperture Neuro,2.0,,,,"Sources of Information Waste in Neuroimaging: Mishandling Structures, Thinking Dichotomously, and Over-Reducing Data",,,journal_article,10.52294/ApertureNeuro.2022.2.ZRJI8542,education
Principles of Functional MRI,Peter Bandettini,peter_bandettini,2006-01-01,,,,,,,,,book_chapter,,
Comparison of multivariate classifiers and response normalizations for pattern-information fMRI,"M. Misaki, Y. Kim, Peter Bandettini, N. Kriegeskorte","misaya_misaki, youn_kim, peter_bandettini, nicolaus_kriegeskorte",2010-01-01,NeuroImage,53.0,103-118,,,,,,journal_article,,
How does an fMRI voxel sample the neuoronal activity pattern: Compact-kernel or complex spatiotemporal filter?,"N. Kriegeskorte, R. Cusack, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2010-01-01,NeuroImage,49.0,1965-1976,,,,,,journal_article,,
The perils of global signal regression for group comparisons: a case study of Autism Spectrum Disorders,"G. Saad, H. Jo, W. Martin","ziad_saad, hang_jo",2013-01-01,Frontiers in Human Neuroscience,7.0,356,,,,,,journal_article,,
Mapping the MRI voxel volume in which thermal noise matches physiological noise-Implications for fMRI,"J. Bodurka, F. Ye, N. Petridou, K. Murphy, Peter Bandettini","natalia_petridou, kevin_murphy, peter_bandettini",2007-01-01,NeuroImage,34.0,542-549,,,,,,journal_article,,
The spatial structure of resting state connectivity stability on the scale of minutes.,"J. Gonzalez-Castillo, D. Handwerker, M. Robinson, C. Hoy, L. Buchanan, Z. Saad, Peter Bandettini","javier_gonzalez-castillo, daniel_handwerker, meghan_robinson, colin_hoy, laura_buchanan, ziad_saad, peter_bandettini",2014-01-01,Frontiers in Neuroscience,,,,,"<p>Resting state functional MRI (rsfMRI) connectivity patterns are not temporally stable, but fluctuate in time at scales shorter than most common rest scan durations (5-10 min). Consequently, connectivity patterns for two different portions of the same scan can differ drastically. To better characterize this temporal variability and understand how it is spatially distributed across the brain, we scanned subjects continuously for 60 min, at a temporal resolution of 1 s, while they rested inside the scanner. We then computed connectivity matrices between functionally-defined regions of interest for non-overlapping 1 min windows, and classified connections according to their strength, polarity, and variability. We found that the most stable connections correspond primarily to inter-hemispheric connections between left/right homologous ROIs. However, only 32% of all within-network connections were classified as most stable. This shows that resting state networks have some long-term stability, but confirms the flexible configuration of these networks, particularly those related to higher order cognitive functions. The most variable connections correspond primarily to inter-hemispheric, across-network connections between non-homologous regions in occipital and frontal cortex. Finally we found a series of connections with negative average correlation, but further analyses revealed that such average negative correlations may be related to the removal of CSF signals during pre-processing. Using the same dataset, we also evaluated how similarity of within-subject whole-brain connectivity matrices changes as a function of window duration (used here as a proxy for scan duration). Our results suggest scanning for a minimum of 10 min to optimize within-subject reproducibility of connectivity patterns across the entire brain, rather than a few predefined networks.</p>",,,journal_article,https://doi.org/10.3389/fnins.2014.00138,bold_connectivity_dynamics
How long to scan? The relationship between fMRI temporal signal to noise ratio and necessary scan duration,"K. Murphy, J. Bodurka, Peter Bandettini","kevin_murphy, peter_bandettini",2007-01-01,NeuroImage,34.0,565-574,,,,,,journal_article,,
"Tracking ongoing cognition in individuals using brief, whole-brain functional connectivity patterns","Javier Gonzalez-Castillo, Colin Hoy, Daniel Handwerker, Meghan Robinson, Laura Buchanan, Ziad Saad, Peter Bandettini","javier_gonzalez-castillo, colin_hoy, daniel_handwerker, meghan_robinson, laura_buchanan, ziad_saad, peter_bandettini",2015-01-01,Proceedings of the National Academy of Sciences,112.0,8762-8767,,,,,,journal_article,10.1073/pnas.1501242112,bold_connectivity_dynamics
Functional MRI today,Peter Bandettini,peter_bandettini,2007-01-01,International Journal of Psychophysiology,63.0,138-145,,,,,,journal_article,,
Novelty Enhances Visual Salience Independently of Reward in the Parietal Lobe,"N. Foley, D. Jangraw, C. Peck, J. Gottlieb",david_jangraw,2014-01-01,Journal of Neuroscience,34.0,7947-7957,,,,,,journal_article,10.1523/JNEUROSCI.4171-13.2014,
Neural correlates of adaptation in freely-moving normal hearing subjects under cochlear implant acoustic simulations,"J. Smalt, J. Gonzalez-Castillo, T. Talavage, D. Pisoni, M. Svirsky",javier_gonzalez-castillo,2013-01-01,NeuroImage,82.0,500-509,,,"<p>Neurobiological correlates of adaptation to spectrally degraded speech were investigated with fMRI before and after exposure to a portable real-time speech processor that implements an acoustic simulation model of a cochlear implant (CI). The speech processor, in conjunction with isolating insert earphones and a microphone to capture environment sounds, was worn by participants over a two week chronic exposure period. fMRI and behavioral speech comprehension testing were conducted before and after this two week period. After using the simulator each day for 2h, participants significantly improved in word and sentence recognition scores. fMRI shows that these improvements came accompanied by changes in patterns of neuronal activation. In particular, we found additional recruitment of visual, motor, and working memory areas after the perceptual training period. These findings suggest that the human brain is able to adapt in a short period of time to a degraded auditory signal under a natural learning environment, and gives insight on how a CI might interact with the central nervous system. This paradigm can be furthered to investigate neural correlates of new rehabilitation, training, and signal processing strategies non-invasively in normal hearing listeners to improve CI patient outcomes.</p>",,,journal_article,10.1016/j.neuroimage.2013.06.001,
Cognitive Science Perspectives on Verb Representation and ProcessingNeural Processing of Verbal Event Structure: Temporal and Functional Dissociation Between Telic and Atelic Verbs,"E. Malaia, J. Gonzalez-Castillo, C. Weber-Fox, T. Talavage, R. Wilbur",javier_gonzalez-castillo,2015-01-01,,,131-140,,,"<p><span style='color: rgb(51, 51, 51); font-family: 'Helvetica Neue', Arial, Helvetica, sans-serif; font-size: 13px; line-height: 20px; background-color: rgb(255, 255, 255);'>The chapter uses electroencephalography (EEG) and functional magnetic resonance imaging (fMRI) evidence to explore neural bases of telicity/atelicity computation. We focus on understanding how general language processing resources (e.g., working memory), as well as language-specific ones contribute to online computation of event structure from its distinctive features in spoken (English) and sign languages (e.g., American Sign Language, Croatian Sign Language).</span></p>",,,book_chapter,10.1007/978-3-319-10112-510.1007/978-3-319-10112-5_6,
"Magnetic resonance imaging of human brain function: Principles, practicalities, and possibilities","Peter Bandettini, E. Wong",peter_bandettini,1997-01-01,Neurosurgery Clinics of North America,8.0,345-370,,,,,,book_chapter,,
Combining computer and human vision into a BCI: Can the whole be greater than the sum of its parts?,"Eric Pohlmeyer, David Jangraw, Jun Wang, Shih-Fu Chang, Paul Sajda",david_jangraw,2010-01-01,,,,,,,,,journal_article,10.1109/IEMBS.2010.5627403,
"Analyzing for information, not activation, to exploit high-resolution fMRI","N. Kriegeskorte, Peter Bandettini","nicolaus_kriegeskorte, peter_bandettini",2007-01-01,NeuroImage,38.0,649-662,,,,,,journal_article,,
Simple explanations before complex theories: Alternative interpretations of Sirotin and Das	extquoteright observations,Peter Bandettini,peter_bandettini,2011-01-01,NeuroImage,55.0,1422,,,,,,journal_article,,
Magnetization transfer weighted EPI facilitates cortical depth determination in native fMRI space,"Y. Chai, L. Li, Y. Wang, B. Poser, J. Duyn, Peter Bandettini","yuhui_chai, peter_bandettini",2021-01-01,NeuroImage,242.0,118455,,,"The increased availability of ultra-high field scanners provides an opportunity to perform fMRI at sub-millimeter spatial scales and enables in vivo probing of laminar function in the human brain. In most previous studies, the definition of cortical layers, or depths, is based on an anatomical reference image that is collected by a different acquisition sequence and exhibits different geometric distortion compared to the functional images. Here, we propose to generate the anatomical image with the fMRI acquisition technique by incorporating magnetization transfer (MT) weighted imaging. Small flip angle binomial pulse trains are used as MT preparation, with a flexible duration (several to tens of milliseconds), which can be applied before each EPI segment without constraining the acquisition length (segment or slice number). The method's feasibility was demonstrated at 7T for coverage of either a small slab or the near-whole brain at 0.8 mm isotropic resolution. Tissue contrast was found to be similar to that obtained with a state-of-art anatomical reference based on MP2RAGE. This MT-weighted EPI image allows an automatic reconstruction of the cortical surface to support laminar analysis in native fMRI space, obviating the need for distortion correction and registration.",https://osf.io/s4bqe/,https://github.com/yuhuichai/MT3DEPI/tree/master,journal_article,https://doi.org/10.1016/j.neuroimage.2021.118455,layer_fmri
Functional MRI using the BOLD approach: dynamic characteristics and data analysis methods,"Peter Bandettini, J. Binder, E. DeYoe, S. Rao, A. Jesmanowicz, T. Hammeke, V. Haughton, E. Wong, J. Hyde",peter_bandettini,1995-01-01,,,351-362,,,,,,book_chapter,,
A functional connectivity-based neuromarker of sustained attention generalizes to predict recall in a reading task,"David Jangraw, Javier Gonzalez-Castillo, Daniel Handwerker, Merage Ghane, Monica Rosenberg, Puja Panwar, Peter Bandettini","david_jangraw, javier_gonzalez-castillo, daniel_handwerker, puja_panwar, peter_bandettini",2018-01-01,NeuroImage,166.0,99-109,,,,,,journal_article,10.1016/j.neuroimage.2017.10.019,
Multi-modal characterization of rapid anterior hippocampal volume increase associated with aerobic exercise,"Adam Thomas, Andrea Dennis, Nancy Rawlings, Charlotte Stagg, Lucy Matthews, Martyn Morris, Shannon Kolind, Sean Foxley, Mark Jenkinson, Thomas Nichols, Helen Dawes, Peter Bandettini, Heidi Johansen-Berg","adam_thomas, peter_bandettini",2016-01-01,NeuroImage,131.0,162-170,,,,,,journal_article,10.1016/j.neuroimage.2015.10.090,
Enhanced identification of BOLD-like components with multi-echo simultaneous multi-slice (MESMS) fMRI and multi-echo ICA,"Valur Olafsson, Prantik Kundu, Eric Wong, Peter Bandettini, Thomas Liu","prantik_kundu, peter_bandettini",2015-01-01,NeuroImage,112.0,43-51,,,,,,journal_article,10.1016/j.neuroimage.2015.02.052,multi_echo
A semantic web approach to service description for matchmaking of services,"D. Trastour, D. Bartolini, J. Gonzalez-Castillo",javier_gonzalez-castillo,2001-01-01,,,,,,"<p>Matchmaking is an important aspect of e-commerce interactions. Advanced matchmaking services require rich and flexible metadata that are not supported by currently available industry standard frameworks for e-commerce such as UDDI and ebXML. The semantic web initiative at W3C is gaining momentum and generating technologies and tools that might help bridge the gap between the current standard solutions and the requirement for advanced matchmaking services. In this paper we examine the problem of matchmaking, highlighting the features that a matchmaking service should exhibit and deriving requirements on metadata for description of services from a matchmaking point of view. We then assess a couple of standard frameworks for e-commerce against these requirements. Finally, we report on our experience of developing a semantic web based matchmaking prototype. In particular, we present our views on usefulness, adequacy, maturity and tool support of semantic web related technologies such as RDF and DAML.</p>",,,journal_article,,
Cortex-wide neural dynamics predict behavioral states and provide a neural basis for resting-state dynamic functional connectivity,"Somayeh Shahsavarani, David Thibodeaux, Weihao Xu, Sharon Kim, Fatema Lodgher, Chinwendu Nwokeabia, Morgan Cambareri, Alexis Yagielski, Hanzhi Zhao, Daniel Handwerker, Javier Gonzalez-Castillo, Peter Bandettini, Elizabeth Hillman","bahar_shahsavarani, daniel_handwerker, javier_gonzalez-castillo, peter_bandettini",2023-01-01,Cell Reports,42.0,112527,,,"Although resting-state functional magnetic resonance imaging (fMRI) studies have observed dynamically changing brain-wide networks of correlated activity, fMRI's dependence on hemodynamic signals makes results challenging to interpret. Meanwhile, emerging techniques for real-time recording of large populations of neurons have revealed compelling fluctuations in neuronal activity across the brain that are obscured by traditional trial averaging. To reconcile these observations, we use wide-field optical mapping to simultaneously record pan-cortical neuronal and hemodynamic activity in awake, spontaneously behaving mice. Some components of observed neuronal activity clearly represent sensory and motor function. However, particularly during quiet rest, strongly fluctuating patterns of activity across diverse brain regions contribute greatly to interregional correlations. Dynamic changes in these correlations coincide with changes in arousal state. Simultaneously acquired hemodynamics depict similar brain-state-dependent correlation shifts. These results support a neural basis for dynamic resting-state fMRI, while highlighting the importance of brain-wide neuronal fluctuations in the study of brain state.",https://zenodo.org/records/7860561,https://zenodo.org/records/7968402,journal_article,10.1016/j.celrep.2023.112527,bold_connectivity_dynamics
The neural basis of surface dyslexia in semantic dementia,"S. Wilson, S. Brambati, R. Henry, D. Handwerker, F. Agosta, B. Miller, D. Wilkins, J. Ogar, M. Gorno-Tempini",daniel_handwerker,2008-01-01,Brain,132.0,71-86,,,,,,journal_article,10.1093/brain/awn300,
"Functional alteration patterns of default mode networks: comparisons of normal aging, amnestic mild cognitive impairment and Alzheimer	extquoterights disease","J. Cha, H. Jo, K. Lee",hang_jo,2013-01-01,European Journal of Neuroscience,37.0,1916-1924,,,,,,journal_article,,
Direct magnetic resonance detection of neuronal electrical activity,"N. Petridou, D. Plenz, A. Silva, M. Loew, J. Bodurka, Peter Bandettini","natalia_petridou, peter_bandettini",2006-01-01,Proceedings of the National Academy of Sciences of the United States of America,103.0,16015-16020,,,,,,journal_article,,
TE-dependent analysis of multi-echo fMRI with tedana,"Elizabeth Dupre, Taylor Salo, Zaki Ahmed, Peter Bandettini, Katherine Bottenhorn, César Caballero-Gaudes, Logan Dowdle, Javier Gonzalez-Castillo, Stephan Heunis, Prantik Kundu, Angela Laird, Ross Markello, Christopher Markiwiecz, Stefano Moia, Isla Staden, Joshua Teves, Eneko Uruñuela, Maryam Vaziri-Pashkam, Kirstie Whitaker, Daniel Handwerker","peter_bandettini, javier_gonzalez-castillo, prantik_kundu, joshua_teves, daniel_handwerker",2021-01-01,The Journal of Open Source Software,,,,,,,https://github.com/ME-ICA/tedana,journal_article,10.21105/joss.03669,multi_echo
Asymmetric hearing loss is associated with altered white matter mesostructure and cortical measures in temporal and occipital regions,"Iva Speck, Susan Arndt, Antje Aschendorff, Ann-Kathrin Rauch, Pierre LeVan, Burak Akin, Alexander Rau",burak_akin,2023-01-01,"94th Annual Meeting German Society of Oto-Rhino-Laryngology, Head and Neck Surgery e.V., Bonn",,,,,,,,journal_article,10.1055/s-0043-1767469,
Two distinct forms of functional lateralization in the human brain,"S. Gotts, H. Jo, G. Wallace, Z. Saad",ziad_saad,2013-08-19,Proceedings of National Academy of Sciences of the United States of America,,,,,,,,journal_article,10.1073/pnas.1302581110,
2015 Brainhack Proceedings,"Cameron Craddock, Pierre Bellec, Daniel Margules, Nolan Nichols, Nolan Nichols, AmanPreet Badhwar, David Kennedy, Jean-Baptiste Poline, Roberto Toro, Ben Cipollini, Ariel Rokem, Daniel Clark, Krzysztof Gorgolewski, Cameron Craddock, Cameron Craddock, Daniel Clark, Samir Das, Samir Das, Ayan Sengupta, Zia Mohades, Sebastien Dery, Weiran Deng, Eric Earl, Damion Demeter, Kate Mills, Glad Mihai, Luka Ruzic, Nick Ketz, Andrew Reineberg, Marianne Reddan, Anne-Lise Goddings, Javier Gonzalez-Castillo, Krzysztof Gorgolewski, Caroline Froehlich, Gil Dekel, Daniel Margulies, Cameron Craddock, Ben Fulcher, Tristan Glatard, Samir Das, Reza Adalat, Natacha Beck, Natacha Beck, Najmeh Khalili-Mahani, Pierre Rioux, Etienne Rousseau, Alan Evans, Yaroslav Halchenko, Matteo Castello, Matteo Castello, Edgar Morales, Laura Cuaya, Kaori Ito, Sook-Lei Liew, Hans Johnson, Erik Kan, Julia Anglin, Michael Borich, Neda Jahanshad, Paul Thompson, Sook-Lei Liew, Daniel Margulies, Marcel Falkiewicz, Julia Huntenburg, David textquoterightConnor, Daniel Clark, Michael Milham, Cameron Craddock, Ramon Pereira, Ramon Pereira, Alexandre Franco, Augusto Buchweitz, Felipe Meneguzzi, Felipe Meneguzzi, Rickson Mesquita, Luis Herrera, Daniela Dentico, Vanessa Sochat, Nolan Nichols, Nolan Nichols, Alexandre Franco, Augusto Buchweitz, Felipe Meneguzzi, Julio Villalon-Reina, Eleftherios Garyfallidis",javier_gonzalez-castillo,2016-01-01,GigaScience,5.0,26-Jan,,,,,,journal_article,10.1186/s13742-016-0147-0,
Inter-subject correlation during long narratives reveals widespread neural correlates of reading ability,"David Jangraw, Emily Finn, Peter Bandettini, Nicole Landi, Haorui Sun, Fumiko Hoeft, Gang Chen, Kenneth Pugh, Peter Molfese","david_jangraw, emily_finn, peter_bandettini, peter_molfese",2023-01-01,NeuroImage,282.0,120390,,,"Recent work using fMRI inter-subject correlation analysis has provided new information about the brain's response to video and audio narratives, particularly in frontal regions not typically activated by single words. This approach is very well suited to the study of reading, where narrative is central to natural experience. But since past reading paradigms have primarily presented single words or phrases, the influence of narrative on semantic processing in the brain - and how that influence might change with reading ability - remains largely unexplored. In this study, we presented coherent stories to adolescents and young adults with a wide range of reading abilities. The stories were presented in alternating visual and auditory blocks. We used a dimensional inter-subject correlation analysis to identify regions in which better and worse readers had varying levels of consistency with other readers. This analysis identified a widespread set of brain regions in which activity timecourses were more similar among better readers than among worse readers. These differences were not detected with standard block activation analyses. Worse readers had higher correlation with better readers than with other worse readers, suggesting that the worse readers had 'idiosyncratic' responses rather than using a single compensatory mechanism. Close inspection confirmed that these differences were not explained by differences in IQ or motion. These results suggest an expansion of the current view of where and how reading ability is reflected in the brain, and in doing so, they establish inter-subject correlation as a sensitive tool for future studies of reading disorders.",https://osf.io/qk5yd/,https://github.com/djangraw/ReadingAbilityIsc,journal_article,10.1016/j.neuroimage.2023.120390,
A deconvolution algorithm for multi-echo functional MRI: multi-echo sparse paradigm free mapping,"Cesar Caballero-Gaudes, Stephano Moia, Puja Panwar, Peter Bandettini, Javier Gonzalez-Castillo","puja_panwar, peter_bandettini, javier_gonzalez-castillo",2019-01-01,NeuroImage,,,,,,,,journal_article,https://doi.org/10.1016/j.neuroimage.2019.116081,multi_echo
Simultaneous gradient-echo/spin-echo EPI of graded ischemia in human skeletal muscle,"K. Donahue, J. Kylen, S. Guven, A. El-Bershawi, W. Luh, Peter Bandettini, R. Cox, J. Hyde, A. Kissebah",peter_bandettini,1998-01-01,Journal of Magnetic Resonance Imaging,8.0,1106-1113,,,,,,journal_article,,
Incidental findings in brain imaging research,"J. Illes, M. Kirschen, E. Edwards, L. Stanford, Peter Bandettini, M. Cho, P. Ford, G. Glover, J. Kulynych, R. Macklin","peter_bandettini, julia_choi",2006-01-01,Science,311.0,783-784,,,,,,journal_article,,
Layer-specific activation in human primary sensory cortex during tactile temporal prediction error processing,"Y. Yu, L. Huber, J. Yang, M. Fukunaga, Y. Chai, D. Jangraw, G. Chen, D. Handwerker, P. Molfese, Y. Ejima, N. Sadato, J. Wu, Peter Bandettini","laurentius_huber, yuhui_chai, david_jangraw, daniel_handwerker, peter_molfese, peter_bandettini",2022-01-01,Neuroimage,,,,,"The human brain continuously generates predictions of incoming sensory input and calculates corresponding prediction errors from the perceived inputs to update internal predictions. In human primary somatosensory cortex (area 3b), different cortical layers are involved in receiving the sensory input and generation of error signals. It remains unknown, however, how the layers in the human area 3b contribute to the temporal prediction error processing. To investigate prediction error representation in the area 3b across layers, we acquired layer-specific functional magnetic resonance imaging (fMRI) data at 7T from human area 3b during a task of index finger poking with no-delay, short-delay and long-delay touching sequences. We demonstrate that all three tasks increased activity in both superficial and deep layers of area 3b compared to the random sensory input. The fMRI signal was differentially modulated solely in the deep layers rather than the superficial layers of area 3b by the delay time. Compared with the no-delay stimuli, activity was greater in the deep layers of area 3b during the short-delay stimuli but lower during the long-delay stimuli. This difference activity features in the superficial and deep layers suggest distinct functional contributions of area 3b layers to tactile temporal prediction error processing. The functional segregation in area 3b across layers may reflect that the excitatory and inhibitory interplay in the sensory cortex contributions to flexible communication between cortical layers or between cortical areas.",,,journal_article,doi.org/10.1016/j.neuroimage.2021.118867,layer_fmri
Cortical network dynamics during source memory retrieval: current density imaging with individual MRI,"K. Namgoong, H. Jo, L. Kwon",hang_jo,2009-01-01,Human Brain Mapping,30.0,78-91,,,,,,journal_article,,
Chapter 6 Hemodynamic Imaging: fMRI and PET,"T. Talavage, I. Johnsrude, J. Gonzalez-Castillo",javier_gonzalez-castillo,2012-01-01,,,,,,,,,book_chapter,,
Regional thinning of cerebral cortical thickness in first-episode and chronic schizophrenia,"K. Chung, H. Jo, L. Kwon",hang_jo,2012-01-01,International Journal of Imaging Systems and Technology,22.0,73-80,,,,,,journal_article,,
